DatLicense,DatURL,DatKeyword,DatPublisher,DatCreator,DatOwner,DatLanguage,DatLevel,DatSize,DatName,DatPublication,DatDescription,DatVersion,DatDomain,DatFileFormat
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/sports_facilities/fitness_centre_data.tsv,"fitness,centre,sport,facility,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),752B,fitness_centre_data.csv,31/12/2023,Provides information about all the fitness centres in the trentino region,3,sport facilities,tsv
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/sports_facilities/fitness_station_data.tsv,"fitness,station,sport,facility,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),2KB,fitness_station_data.tsv,31/12/2023,Provides information about all the fitness stations in the trentino region,3,sport facilities,tsv
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/sports_facilities/pitch_data.tsv,"pitch,sport,facility,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),45KB,pitch_data.tsv,31/12/2023,Provides information about  all the pitches in the trentino region,3,sport facilities,tsv
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/sports_facilities/sports_centre_data.tsv,"sports,centre,sport,facility,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),11K,sports_centre_data.tsv,31/12/2023,Provides information about different sports centres in the trentino region,3,sport facilities,tsv
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/sports_facilities/stadium_data.tsv,"stadium,sport,facility,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),717B,stadium_data.tsv,31/12/2023,Provides information about different stadiums of the trentino region,3,sport facilities,tsv
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/sports_facilities/track_data.tsv,"track,sport,facility,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),3.3KB,track_data.tsv,31/12/2023,Provides information about different tracks of the trentino region,3,sport facilities,tsv
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/transportation/bus_routes_cleaned.geojson,"bus,route,transportation,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),356KB,bus_routes_filtered.geojson,31/12/2023,Provides information about different bus_routes of the trentino region,4,transport,geojson
Open Data Commons Open Database License (ODbL),https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/transportation/train_routes_cleaned.geojson,"train,route,transportation,trentino",OpenStreetMap Foundation,OpenStreetMap Foundation,OpenStreetMap Foundation,english,Knowledge level (L3-4),22KB,train_routes_filtered.geojson,31/12/2023,Provides information about different train_routes  of the trentino region,4,transport,geojson
Apache License 2.0,https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/other/end_user.tsv,"end user,other,trentino",Patrick Nanys,Patrick Nanys,Patrick Nanys,english,Knowledge level (L3-4),335B,end_user.tsv,18/2/2024,Provides information about different end users of the trentino region (this is made up data for testing),1,society,tsv
Apache License 2.0,https://github.com/patrick-nanys/SportsFacilitiesAndTransportationInTrentino/blob/main/Phase%202%20-%20Information%20Gathering/Cleaned%20datasets/other/region.tsv,"region,other,trentino",Patrick Nanys,Patrick Nanys,Patrick Nanys,english,Knowledge level (L3-4),25B,region.tsv,18/2/2024,Contains a single entry that specifies the trentino region,1,territorial,tsv
