leisure	name	sport	lat	lon	type	id	height	climbing:rock	natural	climbing	climbing:bolted	climbing:orientation	climbing:quality	climbing:sport	climbing:grade:french:max	climbing:grade:french:min	climbing:length	climbing:crag	climbing:grade:french:mean
outdoor_climbing_area	Scoglio di Boazzo	climbing	10.526849533606558	45.998628254098385	Feature	relation/3133709		granite	bare_rock										
outdoor_climbing_area	Grande Placconata	climbing	10.913730758333335	45.99647047500002	Feature	relation/8550552			scree	area									
outdoor_climbing_area	Placche Zebrate	climbing	10.918982487878786	46.00022370909091	Feature	relation/15866267			bare_rock	area									
outdoor_climbing_area	Pala delle Lastiele	climbing	10.920735140000001	46.00455909333333	Feature	relation/15866268			bare_rock	area									
outdoor_climbing_area	Parete Est	climbing	10.91631332222222	46.00211417222223	Feature	relation/15866269			bare_rock	area									
outdoor_climbing_area	Parco Rockmaster	climbing	10.891097445238097	45.92339808095238	Feature	way/172383624													
outdoor_climbing_area	Parete Corno di Bo	climbing	10.863627967441861	45.84918900930233	Feature	way/301205738			bare_rock		yes	W	solid	yes					
outdoor_climbing_area	Masso Lorenzo	climbing	10.92617464666667	45.99165282333334	Feature	way/381246766			stone										
outdoor_climbing_area	Masso Elena	climbing	10.92569495	45.99135377272727	Feature	way/381246945			stone										
outdoor_climbing_area	Ferrata Mt.Roen	climbing	11.1969149	46.3640869	Feature	way/27701977													
outdoor_climbing_area	Celva	climbing	11.1847501	46.0727142	Feature	way/29180255			cliff										
outdoor_climbing_area		climbing	10.8764335	46.1541078	Feature	way/43086761													
outdoor_climbing_area	Parete del Limarò	climbing	10.9447043	46.0486385	Feature	way/242743640			cliff										
outdoor_climbing_area	Falesia del Calvario	climbing	10.8845681	45.9254648	Feature	way/340445470			cliff		yes								
outdoor_climbing_area	La Foresta	climbing	10.5298196	45.9845743	Feature	way/362568555													
outdoor_climbing_area	Trepin Paradise	climbing	10.5943305	46.247929	Feature	way/367972302		granite	cliff		yes				7b	5b			
outdoor_climbing_area	Area 51 - Nikolas Tesla	climbing	10.9472122	45.9795733	Feature	way/374714285			cliff										
outdoor_climbing_area	Area 51	climbing	10.9468834	45.9783038	Feature	way/374758444			cliff										
outdoor_climbing_area	Palestra di roccia Rita e Giorgio Graffer	climbing	11.0557525	46.0407964	Feature	way/386318324			cliff	crag	yes		solid		7b	3a			
outdoor_climbing_area	Gino Gianna	climbing	10.9167551	45.995096	Feature	way/419955514				route									
outdoor_climbing_area	Man Ilia	climbing	10.9172406	45.9954854	Feature	way/419955515				route									
outdoor_climbing_area	Celva	climbing	11.1867527	46.0723955	Feature	way/421826834			cliff										
outdoor_climbing_area	Celva	climbing	11.1844279	46.072718	Feature	way/421826836			cliff										
outdoor_climbing_area	Celva	climbing	11.1865562	46.0724571	Feature	way/421826838			cliff										
outdoor_climbing_area	Celva	climbing	11.1868458	46.0723288	Feature	way/421826839			cliff										
outdoor_climbing_area	Celva	climbing	11.1810496	46.07228	Feature	way/421826841			cliff										
outdoor_climbing_area	Celva	climbing	11.1839156	46.0727837	Feature	way/421826843			cliff										
outdoor_climbing_area	Celva	climbing	11.183485	46.0728368	Feature	way/421826845			cliff										
outdoor_climbing_area	Celva	climbing	11.1820532	46.0725636	Feature	way/421826847			cliff										
outdoor_climbing_area	Vecchia Falesia di Lert	climbing	10.5320334	45.9896683	Feature	way/427250445		granite	cliff		yes		solid	yes	7a	4a	25		
outdoor_climbing_area	Falesia di Palù	climbing	11.6590589	46.0086053	Feature	way/447856430			cliff					21	8a	5c			
outdoor_climbing_area	Falesia Drago Nascosto	climbing	11.1372378	46.0964264	Feature	way/453046574		limestone	cliff	crag	yes	s					20 m	Drago nascosto	
outdoor_climbing_area	Falesia Calisio storica	climbing	11.1353441	46.0975061	Feature	way/453046576	20	limestone	cliff	crag	2 m	s	solid	10	7b	5c+	20 m	Calisio storica	6b
outdoor_climbing_area	Falesia Makkiodromo	climbing	11.1503659	46.0946875	Feature	way/453105405	25	limestone	cliff	crag	2 m	s	solid	10	6b	5a	20 m	Makkiodromo	5b
outdoor_climbing_area	Val Scodella	climbing	11.0360083	45.871128	Feature	way/463125573			cliff								30 m		
outdoor_climbing_area		climbing	11.5480425	46.0502103	Feature	way/463680029			cliff										
outdoor_climbing_area	Falesia Mescalisio	climbing	11.1469529	46.0950654	Feature	way/487021490	25	limestone	cliff	crag	2 m	s	solid	10	6b	5b	18 m	Mescalisio	5c
outdoor_climbing_area	Falesia Le Piazzole	climbing	10.8597593	45.931208	Feature	way/496490065			cliff										
outdoor_climbing_area	Falesia Family San Martino	climbing	10.8999851	45.9275579	Feature	way/498085555		limestone	cliff		yes			yes					
outdoor_climbing_area	Falesia Finale Ampola	climbing	10.6444985	45.8624995	Feature	way/498294821			cliff										
outdoor_climbing_area	Falesia FuturAmpola	climbing	10.6365231	45.8582056	Feature	way/498495771			cliff										
outdoor_climbing_area	Val Scodella	climbing	11.040501	45.8721916	Feature	way/521438971			cliff										
outdoor_climbing_area		climbing	11.0387412	45.8720567	Feature	way/521438973			cliff										
outdoor_climbing_area	Falesia Sasso dei Matti	climbing	11.1522484	46.093243	Feature	way/538805393	12	limestone	cliff	crag	2 m		solid	5	6a+	5a	12	Sasso dei Matti	5c
outdoor_climbing_area	Falesia Tradpel	climbing	11.160441	46.0914183	Feature	way/572688028	15	limestone	cliff	crag			solid	yes				Tradpel	
outdoor_climbing_area		climbing	10.9052551	46.0712422	Feature	way/593708640			cliff										
outdoor_climbing_area	Mattatoio	climbing	11.1687518	46.0797108	Feature	way/607279003			cliff										
outdoor_climbing_area	Falesia Di Cisterna	climbing	11.1002657	45.8795356	Feature	way/637580468			cliff										
outdoor_climbing_area	Falesia Family San Martino	climbing	10.9001716	45.9278536	Feature	way/641511741		limestone	cliff		yes			yes					
outdoor_climbing_area	Falesia Lo scudo	climbing	11.1359825	46.0968179	Feature	way/643433149	20	limestone	cliff	crag	yes	s	solid				20 m	Lo scudo	
outdoor_climbing_area	Falesia Cartoon Network	climbing	11.153698	46.0932915	Feature	way/643433151	12	limestone	cliff	crag	1m		solid	20	6a	4c	12	Cartoon Network	5a
